Order_ID,Order_Date,Customer,Region,Category,Product,Quantity,Unit_Price,Sales,Cost,Profit,Customer_Segment,Payment_Mode
ORD00219,2024-01-01,Customer 119,East,Electronics,Smartphone,9,40892,368028,288589.68,79438.32,Corporate,Credit Card
ORD00072,2024-01-01,Customer 190,North,Electronics,Headphones,8,5924,47392,35814.02,11577.98,Small Business,Cash
ORD00924,2024-01-02,Customer 101,North,Furniture,Bookshelf,9,8071,72639,50245.46,22393.54,Corporate,Credit Card
ORD00232,2024-01-03,Customer 85,South,Office Supplies,Pen Set,3,209,627,445.57,181.43,Corporate,Debit Card
ORD00489,2024-01-03,Customer 242,North,Furniture,Table,4,8278,33112,20538.03,12573.97,Consumer,Debit Card
ORD00842,2024-01-04,Customer 138,East,Electronics,Laptop,7,59484,416388,285725.56,130662.44,Consumer,Cash
ORD00092,2024-01-05,Customer 92,South,Electronics,Tablet,2,35161,70322,42612.48,27709.52,Consumer,Debit Card
ORD00425,2024-01-05,Customer 84,West,Furniture,Desk,9,21824,196416,141910.55,54505.45,Consumer,UPI
ORD00593,2024-01-05,Customer 20,South,Furniture,Bookshelf,9,10049,90441,50480.98,39960.02,Corporate,UPI
ORD00584,2024-01-05,Customer 237,North,Electronics,Laptop,8,54298,434384,325894.5,108489.5,Small Business,Credit Card
ORD00592,2024-01-06,Customer 197,South,Electronics,Laptop,5,83783,418915,328068.56,90846.44,Corporate,Credit Card
ORD00570,2024-01-06,Customer 147,West,Electronics,Tablet,7,16763,117341,82059.27,35281.73,Corporate,Cash
ORD00187,2024-01-07,Customer 29,East,Office Supplies,File Folder,4,229,916,677.44,238.56,Consumer,Debit Card
ORD00476,2024-01-07,Customer 137,West,Office Supplies,Notebook,1,162,162,104.72,57.28,Small Business,Credit Card
ORD00743,2024-01-10,Customer 125,North,Electronics,Headphones,7,5703,39921,28855.36,11065.64,Consumer,Cash
ORD00499,2024-01-11,Customer 206,East,Electronics,Tablet,4,38312,153248,92404.5,60843.5,Small Business,UPI
ORD00220,2024-01-12,Customer 276,North,Furniture,Office Chair,5,14200,71000,49427.9,21572.1,Corporate,Cash
ORD00076,2024-01-12,Customer 224,West,Furniture,Desk,6,10330,61980,48052.44,13927.56,Corporate,Cash
ORD00777,2024-01-12,Customer 81,South,Electronics,Headphones,2,3244,6488,3769.7,2718.3,Corporate,Debit Card
ORD00109,2024-01-13,Customer 168,South,Furniture,Table,5,11038,55190,37928.25,17261.75,Consumer,UPI
ORD00532,2024-01-14,Customer 203,West,Furniture,Desk,1,9217,9217,6717.12,2499.88,Small Business,Credit Card
ORD00016,2024-01-15,Customer 42,West,Furniture,Bookshelf,7,10938,76566,52117.19,24448.81,Consumer,UPI
ORD00700,2024-01-15,Customer 4,East,Electronics,Smartphone,8,52244,417952,314703.87,103248.13,Consumer,Credit Card
ORD00426,2024-01-15,Customer 224,North,Furniture,Table,6,6696,40176,31718.29,8457.71,Corporate,Credit Card
ORD00929,2024-01-16,Customer 205,North,Furniture,Table,8,15161,121288,87001.88,34286.12,Corporate,UPI
ORD00438,2024-01-17,Customer 274,North,Electronics,Laptop,7,70058,490406,303505.89,186900.11,Consumer,Cash
ORD00154,2024-01-17,Customer 57,East,Furniture,Desk,2,23314,46628,36338.52,10289.48,Consumer,UPI
ORD00907,2024-01-18,Customer 242,North,Office Supplies,File Folder,1,156,156,103.28,52.72,Corporate,Debit Card
ORD00771,2024-01-19,Customer 262,West,Electronics,Tablet,8,17190,137520,94734.0,42786.0,Small Business,Credit Card
ORD00814,2024-01-19,Customer 300,East,Electronics,Smartphone,4,48635,194540,141789.56,52750.44,Consumer,Cash
ORD00466,2024-01-19,Customer 214,North,Furniture,Desk,8,23433,187464,123387.25,64076.75,Small Business,Debit Card
ORD00885,2024-01-21,Customer 100,West,Electronics,Smartphone,9,52777,474993,325046.7,149946.3,Small Business,UPI
ORD00186,2024-01-22,Customer 120,East,Electronics,Laptop,6,58073,348438,232893.68,115544.32,Corporate,Debit Card
ORD00724,2024-01-22,Customer 291,North,Furniture,Table,4,7644,30576,19956.26,10619.74,Corporate,Debit Card
ORD00316,2024-01-22,Customer 112,North,Electronics,Smartphone,1,28140,28140,16468.65,11671.35,Corporate,Debit Card
ORD00291,2024-01-23,Customer 30,East,Furniture,Table,3,13894,41682,24028.95,17653.05,Small Business,Credit Card
ORD00122,2024-01-23,Customer 218,North,Office Supplies,Printer,8,15789,126312,76650.89,49661.11,Corporate,Debit Card
ORD00262,2024-01-25,Customer 141,North,Furniture,Desk,4,18138,72552,57185.44,15366.56,Corporate,Cash
ORD00785,2024-01-25,Customer 279,South,Office Supplies,Notebook,4,219,876,495.37,380.63,Consumer,Cash
ORD00037,2024-01-27,Customer 226,North,Furniture,Desk,3,17677,53031,41179.88,11851.12,Corporate,Credit Card
ORD00720,2024-01-27,Customer 271,South,Electronics,Smartphone,6,20454,122724,69673.97,53050.03,Small Business,Cash
ORD00832,2024-01-27,Customer 220,South,Office Supplies,Pen Set,7,479,3353,2274.06,1078.94,Small Business,UPI
ORD00214,2024-01-28,Customer 66,East,Electronics,Headphones,2,4814,9628,5689.0,3939.0,Consumer,Credit Card
ORD00882,2024-01-28,Customer 1,West,Furniture,Bookshelf,4,14737,58948,42501.14,16446.86,Small Business,Cash
ORD00468,2024-01-29,Customer 280,South,Electronics,Tablet,6,36028,216168,124370.79,91797.21,Small Business,Debit Card
ORD00365,2024-01-30,Customer 188,West,Furniture,Bookshelf,9,8020,72180,55249.14,16930.86,Corporate,Cash
ORD00869,2024-01-31,Customer 249,North,Furniture,Office Chair,8,7311,58488,44505.4,13982.6,Consumer,UPI
ORD00318,2024-02-01,Customer 277,West,Electronics,Tablet,3,13854,41562,28025.84,13536.16,Corporate,UPI
ORD00619,2024-02-03,Customer 141,East,Furniture,Desk,4,23428,93712,59449.31,34262.69,Corporate,Debit Card
ORD00007,2024-02-04,Customer 206,North,Electronics,Headphones,7,3556,24892,18875.57,6016.43,Corporate,Cash
ORD00344,2024-02-04,Customer 267,West,Furniture,Bookshelf,1,6479,6479,3619.61,2859.39,Corporate,Debit Card
ORD00239,2024-02-05,Customer 84,West,Furniture,Bookshelf,8,12105,96840,57746.38,39093.62,Corporate,UPI
ORD00044,2024-02-05,Customer 173,West,Office Supplies,Notebook,8,62,496,282.92,213.08,Consumer,Cash
ORD00449,2024-02-07,Customer 239,North,Electronics,Tablet,6,34318,205908,123087.62,82820.38,Consumer,Credit Card
ORD00116,2024-02-08,Customer 198,South,Electronics,Smartphone,5,51455,257275,156231.88,101043.12,Small Business,UPI
ORD00480,2024-02-08,Customer 245,East,Office Supplies,Printer,2,15451,30902,18572.29,12329.71,Small Business,Cash
ORD00663,2024-02-08,Customer 132,South,Electronics,Headphones,5,6648,33240,22633.64,10606.36,Corporate,Debit Card
ORD00366,2024-02-10,Customer 63,East,Electronics,Tablet,3,25467,76401,53084.68,23316.32,Small Business,Cash
ORD00090,2024-02-12,Customer 240,East,Furniture,Desk,5,12569,62845,39729.85,23115.15,Small Business,UPI
ORD00640,2024-02-12,Customer 245,East,Furniture,Bookshelf,8,10911,87288,65025.65,22262.35,Small Business,Credit Card
ORD00812,2024-02-13,Customer 186,East,Furniture,Bookshelf,5,5847,29235,21391.81,7843.19,Corporate,Credit Card
ORD00996,2024-02-14,Customer 108,East,Office Supplies,Pen Set,3,439,1317,955.59,361.41,Small Business,Debit Card
ORD00093,2024-02-15,Customer 34,North,Furniture,Office Chair,6,11376,68256,43615.44,24640.56,Corporate,Debit Card
ORD00866,2024-02-16,Customer 13,West,Office Supplies,Pen Set,1,243,243,169.96,73.04,Small Business,UPI
ORD00761,2024-02-18,Customer 55,South,Electronics,Laptop,1,77454,77454,56640.39,20813.61,Small Business,Cash
ORD00306,2024-02-18,Customer 74,West,Electronics,Tablet,3,19999,59997,35789.73,24207.27,Consumer,Cash
ORD00621,2024-02-19,Customer 5,West,Office Supplies,Notebook,4,58,232,159.24,72.76,Small Business,Debit Card
ORD00124,2024-02-20,Customer 29,South,Office Supplies,Printer,1,13795,13795,8878.58,4916.42,Consumer,Debit Card
ORD00492,2024-02-21,Customer 153,North,Office Supplies,Printer,7,5060,35420,22613.8,12806.2,Small Business,Debit Card
ORD00985,2024-02-21,Customer 91,North,Furniture,Office Chair,7,13789,96523,55214.59,41308.41,Corporate,Credit Card
ORD00651,2024-02-21,Customer 263,East,Electronics,Laptop,3,63543,190629,130808.3,59820.7,Small Business,Credit Card
ORD00397,2024-02-22,Customer 275,North,Office Supplies,Notebook,5,62,310,217.27,92.73,Consumer,Debit Card
ORD00399,2024-02-22,Customer 22,South,Electronics,Headphones,2,7555,15110,9196.9,5913.1,Small Business,Cash
